spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
gate,bybit,VANRYUSDT,0.005538,0.005951,7.4576,1774110878196
gate,bybit,BSUUSDT,0.05429,0.05485,1.0315,1774111302966
gate,binance,NAORISUSDT,0.06778,0.0685000,1.0623,1774111463490
gate,binance,A2ZUSDT,0.0005484,0.0005539,1.0029,1774111847859
gate,binance,MAGMAUSDT,0.10794,0.1102100,2.103,1774112799083
gate,bybit,MAGMAUSDT,0.10794,0.11048,2.3532,1774112799083
gate,bybit,VANRYUSDT,0.005555,0.005967,7.4167,1774114378415
binance,gate,NTRNUSDT,0.00620000,0.00627,1.129,1774116401253
