spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043220845
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043221145
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043221445
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043221746
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043222046
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043222346
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043222646
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043222946
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043223246
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043223546
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043223847
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043224147
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043224447
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043224747
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043225048
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043225348
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043225648
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043225948
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043226248
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043226548
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043226848
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043227148
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043227449
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043227749
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043228049
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043228350
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043228650
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043228950
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043229251
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043229551
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043229852
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043230152
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043230453
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043230753
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043231053
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043231353
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043231654
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043231954
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043232254
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043232555
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043232855
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043233155
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043233455
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043233756
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043234057
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043234357
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043234658
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043234958
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043235259
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043235559
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043235859
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043236159
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043236459
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043236759
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043237059
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043237359
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043237660
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043237960
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043238260
binance,gate,FUNUSDT,0.00137600,0.0308,2138.3721,1774043238560
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043238860
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043239160
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043239460
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043239761
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043240061
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043240361
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043240661
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043240961
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043241262
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043241562
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043241862
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043242162
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043242462
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043242762
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043243062
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043243365
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043243665
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043243965
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043244265
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043244565
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043244865
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043245166
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043245466
binance,gate,FUNUSDT,0.00137600,0.03078,2136.9186,1774043245766
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043246066
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043246366
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043246667
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043246967
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043247267
binance,gate,FUNUSDT,0.00137600,0.03079,2137.6453,1774043247567
