spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts
binance,bitget,1000SATSUSDT,0.00001036,0.0000105,1.3514,1774137740620
binance,bybit,GIGGLEUSDT,25.56000000,25.9,1.3302,1774137740620
binance,bybit,RESOLVUSDT,0.05740000,0.05854,1.9861,1774137740620
binance,okx,GIGGLEUSDT,25.56000000,25.88,1.252,1774137740620
bitget,binance,AIAUSDT,0.088999,0.0900600,1.1921,1774137740620
gate,binance,VANRYUSDT,0.005288,0.0056840,7.4887,1774137740620
gate,bitget,VANRYUSDT,0.005288,0.005683,7.4697,1774137740620
gate,bybit,VANRYUSDT,0.005288,0.005702,7.829,1774137740620
gate,bybit,PTBUSDT,0.0015304,0.0015479,1.1435,1774137742424
binance,bybit,FIDAUSDT,0.01416000,0.014311,1.0664,1774137743927
bybit,binance,FRAXUSDT,0.4679,0.4737000,1.2396,1774137743927
bybit,bitget,FRAXUSDT,0.4679,0.47338,1.1712,1774137743927
bitget,binance,FRAXUSDT,0.4666,0.4730000,1.3716,1774137744528
gate,bybit,OKBUSDT,83.97,84.96,1.179,1774137748737
okx,bybit,OKBUSDT,83.86,84.96,1.3117,1774137748737
